Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,
"Oct-20

AM
5min Easy Cyclical
5min Active Mob / Joint Prep
5min Empty Bar Snatch Prep
+
[Snatch Strength]
A. 3 Chaos OHS + 2x25ft OH Carry (3 Sets)
*RPE 6-7
B. Low Hang Snatch (4 x 3) 135lb
*odd sets: powers
*even sets: squats
C. Heel-Elevated Sotts Press (3 x 3-5) 45lb
D. Squat Snatch (3 x 1.1.1) 185lb
*+/- 5lb, rest 5-15s b/t clusters
*rest to recovery b/t sets
E. 30 Snatch 135 for Time
*must be singles
F1. Glute Ham Raise (4 x 4) 3s lower
F2. Copenhagen Plank with Bottom Leg Sweeps (4 x 8)
*alternate working leg each set

PM 
5min AirBike @ Easy Pace
10min Run @ Easy Pace
+
[Flux Run]
6 Sets (4:30 On, 0:30 Off)
*Odd Sets: AMRAP
-4 Dual DB Thrusters
-6 TTB
-24 DU
*Even Sets: Run @ Max Recovery Pace
+
10:00 Run @ Easy Pace
5min AirBike @ Easy Pace
5min Box Breathing @ 4444","Oct-21

AM
[Extended Sport Conditioning]
8:00 Row @ Cruise
8:00 Prep Mvmts
+
EMOM 40:00 (5 Rounds)
1) 10 Cal Row @ Strong Pace
2) 1 LLRC + 2 RC
3) 10 Cal Row @ Strong Pace
4) 8 BMU
5) 10 Cal Row @ Strong Pace
6,7,8) BikeErg @ Cruise Pace
+
8:00 Walk with Breath Sync
8:00 Foam Roll / Stretch

PM 
[Polarized AirBike]
Foam Roller Routine
10:00 AirBike @ Zone 2 HR
...into...
Every 2:00 x 10 Sets:
1) 14s AirBike Sprint @ Max Effort
2) 18s Max Bar-Facing Burpee
...into...
10:00 AirBike @ Recovery Pace
5min Box Breathing @ 4444","Oct-22

AM
[Clean & Jerk Strength]
A1. Banded Hamstring Curls (3 x 15)
*after 15th rep, hold in shortened end range for 15s
A2. Hip Extension from Saddle Pose (3 x 15s stretch into 5 pulses)
*sitting in saddle, pushing the hip up as far as you can (probably a few inches) and then returning to saddle
B1. 90-90 Hip Rotations with Internal Rotation Lift-Off (4 x 8)
*on each rep / rotations, lift trail foot off the floor 3 times (hip internal rotation)
B2. Frog Glute Bridge (4 x 8) 2s pause at top of each
C. 5 Sets:
-1.1.1 Box Jump; from Seated on Low Box; to 30""
-1.1.1 Cluster 95-115-135-155-165lb
*recovery skierg 2min b/t sets*
D. E90s x 8-10 Sets: 1 Squat Clean
*start at 165 and slowly build to strong single for the day
E. RLE Split Squat; Hand-Supported (3 x 15-20ea)
*53lb kb by side
*NEXT WEEK we'll pull this out

PM
A. HS Prep Routine
B. 5min HS Hold Practice
C. 5min HSW Refinement*
*practicing counting how many ""steps"" each 25ft length takes you
*I'm 20-22 normally
+
[Fatigued Pressing]
4 Sets: (rest 3:00 b/t)
-15 HSPU; first 10 strict
-15 Cal SkiErg
-15 Burpee over Parallette
*first 90s of rest, perform single unders
*work on carrying the least amount of tension and recovering the shoulders & breathing
+
[VO2 Development]
3-4 Sets: (rest 4:00 b/t)
-300m SkiErg @ Ramping Pace
-300m Run @ Strong Pace
*each @ high effort on the run
*if unable to match times within 5s, call it
+
10min Easy Cyclical
5min Box Breathing @ 4444","Oct-23

(Swim Session)

[Land Warm-Up]
A. Joint Rotations Warm-Up
B. Forward Shoulder CARs (3 x 3 / arm) 6-8s per rotation
*work to ""own"" the range & use a big ROM
C1. Seiza Sit Raise (3 x 8-10) each w/ 1s pause
C2. Arch Hold (3 x 10 Breaths)
C3. Hollow Hold (3 x 10 Breaths)
+
[Pool]
4 x 50m; Form-Focused, Relaxed Pace
*intervals 1&3: Focus on Kick Quality
*intervals 2&4: Focus on Upper Body Action
+
6 x 100m @ Cruise Pace
*rest 1:00 b/t
+
5:00 Kick Board - Continuous
*keep body line long & relaxed
+
30 Breaths @ Edge of Pool
*inhale - nasal
*exhale - mouth; submerge face","Oct-24

AM [Threshold Run]
5-10:00 Easy Run
+
[25:00 Clock]
-800m Run @ 10k Pace +20s/mi 
-200m Jog
-400m Run @ 10k Pace -15-20s/mi 
-200m Jog
+
5min Walk
5min Self-Directed Mobility
5min Box Breathing @ 4444

PM
5min Easy Cyclical
5min Active Mob / Joint Prep
5min Empty Bar Snatch Prep
+
[Snatch & Pressing Strength]
A1. Chaos OHS (3 x 4) @ 2222
A2. Heel-Elevated Sotts Press (3 x 3-5) 45lb
B1. 2 Low Hang Power Snatch + 2 Hip Squat Snatch (4 Sets)
*135lb, +/- 10lb
B2. Band-Assisted sHSPU (4 x AMRAP-2)
*target rep range: 7-12
C. DB Bench Press (3 x AMRAP-2) 70's
D. Every 2:30 x 4 Sets:
-:00-:20 | Max OHS 135lb
-:40-:60 | Max RMU
E. Wtd Shoulder Health Routine","Oct-25

A. ZOAR Clean & Jerk Warm-Up
B. E3M x 5 Sets:
-60 Double Unders (:45 Cap)
-3 Hang Cleans + 2 Front Squats + 1 Jerk
C. E2M x 5 Sets:
-3 HPC + 3 Push Press; RPE 7-8
D. RDL (3 x 8-10)
*use ending weight from ""C""
E1. PNF Elevated Cat Pose; Fingers Interlocked (3 x 8s.8s.8s / way)
E2. DB Squat Snatch (3 x 8) light to moderate
F1. Chest-to-Bar (3 x 3-6)
F2. Box Jump Over (3 x 4) 24/20"" 
F3. GHD Sit-Ups (3 x 6)
G. 5-10 Reps of Each Mvmt @ Wko Pace
+
“Fitty”
For Time
-50 Chest-to-Bar
-50 DB Squat Snatch 50/35lb
-50 GHD Sit-Ups 
-50 Box Jump Overs 24/20""
+
[20:00 Clock]
-4 Glute Ham Raises
-50ft Backwards Sled Drag; moderate
-8 sPU on climbing rope; hands staggered 12"" apart (switch top hand after 4)
+
[20:00 Clock] extra credit
-60s Choice Handstand Skill Work
-45s Couch Stretch / side
-30s Sorenson Hold
-15 Supinated Scap Pull-Ups
-12 Back-to-Wall Tib Raise","Oct-26

(Rest)",Averages
0,,,,,,,0
0,,,,,,,0
115 OHS / 2:11 / 14 rounds / 11.0 kph - 10 kph - disaster last round,,165-180-195-210-225-240-255-270-285-300(F)-300 / :31 max HS hold / 22-22 -- 22-24 -- 23-24 -- 24-26 steps / 2:26 (w/o plates) - 2:41 - 2:55 - 4:07,,"7:51-7:47-7:51 (5,165M) / (Snatch @ 145, (no rig setup at gym, so used abmat instead), 10-8-7-7 sHSPU / 15-15-13 / 9-9-9-9 -- 6-6-6-6 (a little over the limit, but I'm counting them)",,,
,,,,,,,
"Oct-13

AM
5min Easy Cyclical
5min Active Mob / Joint Prep
5min Empty Bar Snatch Prep
+
[Snatch Strength]
A. Chaos OHS (4 x 4) @ 2222
*RPE 6-7
B. 3 Low Hang Power Snatch + 3 Hip Squat Snatch (4 Sets) 95-135lb
*move feet like you want to for a heavy squat snatch for all reps
C. OHS; 3s lower (5,4,3,2,1)
*pause rep 1 of each set
*end at RPE 8.5 for a single
D. 4 Sets: (rest 2:00 b/t)
-400m Ski @ 5k Pace / Effort
-4 Squat Snatch @ 175lb
*goal load +/- 5lb
E. Snatch Grip RDL (3 x 8-10) 3s lower - RPE 6
F1. Glute Ham Raise (6 x 4) 3s lower
F2. Copenhagen Plank with Bottom Leg Sweeps (6 x 8)
*alternate working leg each set

PM 
5min AirBike @ Easy Pace
10min Run @ Easy Pace
+
[Flux Run]
6 Sets (4:30 On, 0:30 Off)
*Odd Sets: AMRAP
-10 Drag DU
-10 Cal Ski
-10 Burpee To Bar Touch
-10 TTB
*Even Sets: Run @ Max Recovery Pace
+
10:00 Run @ Easy Pace
5min AirBike @ Easy Pace
5min Box Breathing @ 4444","Oct-14

AM
[Extended Sport Conditioning]
8:00 Row @ Cruise
8:00 Prep Mvmts
+
EMOM 35-42:00
1) 45s Max Row Cals
2) 30s Max BBJO 24""
3) 30s Max RCs
4) 45s Max Row Cals
5) 30s Max SA DB OH WL 50lb
6) 30s Max BMU
7) Rest
+
8:00 Row @ Cruise
8:00 Foam Roll / Stretch

PM 
[Polarized AirBike]
Foam Roller Routine
10:00 AirBike @ Zone 2 HR
...into...
Every 2:00 x 7-8 Sets:
-15s AirBike Sprint @ Max Effort
...into...
10:00 AirBike @ Recovery Pace
5min Box Breathing @ 4444","Oct-15

AM
[Clean & Jerk Strength]
A1. Banded Hamstring Curls (3 x 15)
*after 15th rep, hold in shortened end range for 15s
A2. Hip Extension from Saddle Pose (3 x 15s stretch into 5 pulses)
*sitting in saddle, pushing the hip up as far as you can (probably a few inches) and then returning to saddle
B1. 90-90 Hip Rotations with Internal Rotation Lift-Off (4 x 8)
*on each rep / rotations, lift trail foot off the floor 3 times (hip internal rotation)
B2. Frog Glute Bridge (4 x 8) 2s pause at top of each
C. 5 Sets:
-1.1.1 Box Jump; from Squat 30""
-3 Thrusters 95-115-135-155-165lb
*recovery airbike 2min b/t sets*
D. E2M x 7-8 Sets: 
-1 Power Clean + Hang Squat Clean
*start at RPE 6 and build to RPE 8.5-9 / heavy complex
E. RLE Split Squat; Hand-Supported (2 x 15-20ea)
*53lb kb by side
*see video for setup

PM
A. HS Prep Routine
B. 5min HS Hold Practice
C. 5min HSW Refinement
+
[Fatigued Pressing]
4 Sets: (rest 1:1 b/t)
-30 Cal SkiErg
-15 HSPU; first 8 strict
-30 Cal BikeErg
-15 Burpee over Parallette
+
[VO2 Development]
3 Sets: (rest 4:00 b/t)
-30 Cal SkiErg
-30 Cal BikeErg
-30 Shuttle Run (2x25ft=1)
*start @ 85% 
*final set @ high effort
+
10min Easy Cyclical
5min Box Breathing @ 4444","Oct-16

(Active Recovery)

6-8 Sets:
-3:00 Easy AirBike
-2:00 Foam Rolling","Oct-17

AM [Threshold Run]
5-10:00 Easy Run
+
[25:00 Clock]
-800m Run @ 10k Pace +30s/mi
-200m Jog
-400m Run @ 10k -15-20s/mi
-200m Jog
+
5min Walk
5min Self-Directed Mobility
5min Box Breathing @ 4444

PM
5min Easy Cyclical
5min Active Mob / Joint Prep
5min Empty Bar Snatch Prep
+
[Snatch & Pressing Strength]
A. Chaos OHS (4 x 4) @ 2222
*RPE 6-7
B1. 2 Low Hang Power Snatch + 2 Hip Squat Snatch (4 Sets)
*125lb, +/- 10lb
B2. DB Bench Press (4 x AMRAP-3) 70's
C. Every 2:00 x 4 Sets:
-:00-:20 | Max Squat Snatch 155lb
-:40-:55 | Max Strict Ring Dip
D1. sCTB (3 x AMRAP) 
D2. kHSPU (3 x AMRAP-2)
E. Wtd Shoulder Health Routine","Oct-18

5:00 Row, ramping pace every 60s
*end at 2k pace
+ 
30s Each...
-Couch Stretch / side
-Pigeon Stretch / side
-Blackburns
+
3 rounds
-10 Glute Bridges
-10 Barbell Front Rack Rotations
-5 Pausing Goblet Squats
+
[20:00 Clock]
Find Heavy Complex
-Deadlift + Clean + Hang Clean + Jerk
+
3 rounds
-5/5 KB Windmill, light weight
-5 Sandbag Lap-to-Stand
+
2 rounds; prepping b/w mvmts as needed
-45s row, moderate pace
-3/3 KB Snatch, 53/35 lb
-6 GHDSU
-2 D-Ball OTS, 150#/100#
+ 
complete @ wko pace
-3 D-Ball OTS
-2 Rounds of Wko @ Pace
+
""Hinge Party""
AMRAP 15:00
-12/9 Calorie Row
-6/6 KB Snatches (6+6) 53/35lb 
-12 GHD Sit-Up
*every 3min, do 3 D-Ball Over-the-Shoulder 150/100lb 
[At 0,3,6 9,12:00]
+
6 or 8 Rounds for Quality
-2-5 L-Sit Pull-Ups (scale = tucked)
-4x25ft Sandbag Carry; on shoulder* 200/150lb
*alternate which shoulder / round
-4x25ft KB Carry 70/53lb (L)
-4x25ft KB Carry 70/53lb (R)
+
[20:00 Clock] extra credit
-2:30 Choice Handstand Skill Work
-2:30 Choice Jump Rope Skill Work
-2:30 Choice Bike; cruise pace","Oct-19

(Rest)",Averages
0,,,,,,,0
0,,,,,,,0
155-170-185-200-215 OHS / 2:39-2:17-2:09-2:07 (came out too hot that first rep) / 2+12 - 2+7 - 2+4 (6+23) / 11.5 kph - 11.5 kph - 11.0 kph,13-7-3-13-12-9 (8 in round 4) / 14-14-15-14-15-14-15-13 (114 cals),"4x50' on the 1:15 / 5:47-5:23-5:25-6:11 struggled considerably compared to previous weeks. Skiing first contributed, as did the added reps. Somewhat frustrating, but ultimately beneficial.",,"7:52-7:48-7:47 (5,150M Total) / 12.5-11.0-13.0-11.0",,,
,,,,,,,
